"","artist","album","track","danceability","energy","valence"
"1","Solange","When I Get Home","Things I Imagined",0.391,0.192,0.039
"2","Solange","When I Get Home","S McGregor (interlude)",0.422,0.321,0.361
"3","Solange","When I Get Home","Down With the Clique",0.664,0.459,0.356
"4","Solange","When I Get Home","Way to the Show",0.594,0.71,0.558
"5","Solange","When I Get Home","Can I Hold the Mic (interlude)",0.633,0.169,0.534
"6","Solange","When I Get Home","Stay Flo",0.823,0.558,0.674
"7","Solange","When I Get Home","Dreams",0.661,0.368,0.211
"8","Solange","When I Get Home","Nothing Without Intention (interlude)",0.678,0.506,0.623
"9","Solange","When I Get Home","Almeda",0.827,0.553,0.0631
"10","Solange","When I Get Home","Time (is)",0.493,0.159,0.38
"11","Solange","When I Get Home","My Skin My Logo",0.724,0.292,0.524
"12","Solange","When I Get Home","We Deal With the Freak'n (intermission)",0.447,0.7,0.545
"13","Solange","When I Get Home","Jerrod",0.409,0.253,0.218
"14","Solange","When I Get Home","Binz",0.863,0.625,0.456
"15","Solange","When I Get Home","Beltway",0.313,0.189,0.0391
"16","Solange","When I Get Home","Exit Scott (interlude)",0.39,0.436,0.525
"17","Solange","When I Get Home","Sound of Rain",0.8,0.526,0.454
"18","Solange","When I Get Home","Not Screwed! (interlude)",0.34,0.436,0.166
"19","Solange","When I Get Home","I'm a Witness",0.26,0.29,0.0383
"20","Solange","A Seat at the Table","Rise",0.507,0.418,0.24
"21","Solange","A Seat at the Table","Weary",0.507,0.466,0.11
"22","Solange","A Seat at the Table","Interlude: The Glory is in You",0.538,0.259,0.827
"23","Solange","A Seat at the Table","Cranes in the Sky",0.719,0.615,0.465
"24","Solange","A Seat at the Table","Interlude: Dad Was Mad",0.631,0.314,0.66
"25","Solange","A Seat at the Table","Mad",0.827,0.477,0.599
"26","Solange","A Seat at the Table","Don't You Wait",0.833,0.579,0.514
"27","Solange","A Seat at the Table","Interlude: Tina Taught Me",0.733,0.312,0.405
"28","Solange","A Seat at the Table","Don't Touch My Hair",0.823,0.411,0.397
"29","Solange","A Seat at the Table","Interlude: This Moment",0.318,0.658,0.65
"30","Solange","A Seat at the Table","Where Do We Go",0.85,0.351,0.412
"31","Solange","A Seat at the Table","Interlude: For Us By Us",0.552,0.576,0.865
"32","Solange","A Seat at the Table","F.U.B.U.",0.475,0.499,0.454
"33","Solange","A Seat at the Table","Borderline (An Ode to Self Care)",0.69,0.577,0.472
"34","Solange","A Seat at the Table","Interlude: I Got So Much Magic, You Can Have It",0.652,0.0584,0.639
"35","Solange","A Seat at the Table","Junie",0.826,0.724,0.652
"36","Solange","A Seat at the Table","Interlude: No Limits",0.483,0.376,0.887
"37","Solange","A Seat at the Table","Don't Wish Me Well",0.742,0.417,0.388
"38","Solange","A Seat at the Table","Interlude: Pedestals",0.721,0.318,0.885
"39","Solange","A Seat at the Table","Scales",0.459,0.366,0.255
"40","Solange","A Seat at the Table","Closing: The Chosen Ones",0.402,0.502,0.612
"41","Solange","True","Losing You",0.735,0.798,0.464
"42","Solange","True","Some Things Never Seem to Fucking Work",0.432,0.65,0.535
"43","Solange","True","Locked in Closets",0.808,0.625,0.397
"44","Solange","True","Lovers in the Parking Lot",0.709,0.559,0.392
"45","Solange","True","Don't Let Me Down",0.946,0.408,0.782
"46","Solange","True","Look Good with Trouble",0.696,0.269,0.719
"47","Solange","True","Bad Girls - Verdine Version",0.75,0.518,0.466
"48","Solange","True","Some Things Never Seem To Fucking Work",0.777,0.653,0.559
"49","Solange","True","Locked In Closets",0.802,0.633,0.393
"50","Solange","True","Lovers In The Parking Lot",0.709,0.559,0.391
"51","Solange","True","Looks Good With Trouble",0.698,0.263,0.739
"52","Solange","True","Bad Girls (Verdine Version)",0.751,0.518,0.47
"53","Solange","True","Look Good With Trouble",0.696,0.269,0.719
"54","Solange","True","Bad Girls - Verdine version",0.75,0.518,0.466
"55","Solange","Solo Star","Ain't No Way",0.79,0.675,0.733
"56","Solange","Solo Star","Dance with You",0.696,0.925,0.862
"57","Solange","Solo Star","Get Together",0.784,0.623,0.78
"58","Solange","Solo Star","Crush",0.71,0.797,0.774
"59","Solange","Solo Star","So Be It",0.664,0.647,0.609
"60","Solange","Solo Star","Wonderland",0.703,0.616,0.597
"61","Solange","Solo Star","This Could Be Love",0.645,0.722,0.719
"62","Solange","Solo Star","Feelin' You",0.616,0.666,0.74
"63","Solange","Solo Star","Bring It on Home",0.744,0.807,0.602
"64","Solange","Solo Star","Feelin' You - Nu Soul Remix",0.782,0.689,0.744
"65","Solange","Solo Star","Crush - Vibelicious Remix",0.766,0.739,0.693
